tweet,label
I love this phone so much 😍 #awesome,1
Worst experience ever!!! 😡😡,0
This is okay nothing special,2
Amazing service and fast delivery!,1
Terrible customer support,0
I am very happy with the product,1
Not bad could be better,2
Absolutely horrible never buying again,0
Great quality and excellent performance,1
It works fine but has some issues,2
I hate this app it crashes all the time,0
Best purchase I have made!,1
Average experience nothing great,2
Very disappointing product,0
Loved it will recommend to everyone,1
It is fine not too good not too bad,2
Waste of money totally useless,0
Superb build quality and design,1
Mediocre performance overall,2
Bad experience not satisfied,0